stock_name,total_percent_sf,daily_cgr_sf,number_of_days,total_percent_2nd_half,daily_cgr_2nd_half,file_date= 2023-07-04,total_percent_full_zone,daily_cgr_full_zone,sf_safety_factor
ADANIPORTS.NS,15.96,0.646,23,20.31,0.807,,35.032,1.314,80
APOLLOHOSP.NS,20.53,0.815,23,26.24,1.018,,42.116,1.54,80
ASIANPAINT.NS,11.57,0.477,23,14.66,0.597,,25.607,0.996,80
AXISBANK.NS,12.28,0.505,23,15.56,0.631,,27.617,1.066,80
BAJAJ-AUTO.NS,10.43,0.432,23,13.19,0.54,,23.718,0.93,80
BAJFINANCE.NS,11.35,0.469,23,14.38,0.586,,23.31,0.915,80
BAJAJFINSV.NS,13.41,0.549,23,17.03,0.686,,27.629,1.066,80
BHARTIARTL.NS,13.88,0.567,23,17.63,0.708,,29.868,1.143,80
BPCL.NS,12.56,0.516,23,15.92,0.644,,28.947,1.111,80
BRITANNIA.NS,12.29,0.505,23,15.58,0.631,,23.926,0.937,80
CIPLA.NS,13.69,0.559,23,17.38,0.699,,30.629,1.168,80
COALINDIA.NS,10.14,0.421,23,12.82,0.526,,23.526,0.923,80
DIVISLAB.NS,15.21,0.617,23,19.34,0.772,,31.786,1.207,80
DRREDDY.NS,10.75,0.445,23,13.61,0.556,,24.936,0.973,80
EICHERMOT.NS,14.07,0.574,23,17.87,0.717,,32.21,1.221,80
GAIL.NS,12.05,0.496,23,15.27,0.62,,22.919,0.901,80
GRASIM.NS,14.73,0.599,23,18.72,0.749,,32.504,1.231,80
HCLTECH.NS,11.97,0.493,23,15.17,0.616,,26.385,1.023,80
HDFC.NS,11.07,0.457,23,14.01,0.572,,19.373,0.773,80
HDFCBANK.NS,11.76,0.485,23,14.9,0.606,,20.623,0.819,80
HDFCLIFE.NS,20.82,0.826,23,26.63,1.032,,48.288,1.728,80
HEROMOTOCO.NS,17.54,0.705,23,22.36,0.881,,38.842,1.437,80
HINDALCO.NS,15.9,0.643,23,20.23,0.804,,31.295,1.191,80
HINDUNILVR.NS,12.11,0.498,23,15.34,0.623,,27.168,1.05,80
ICICIBANK.NS,11.27,0.465,23,14.27,0.582,,18.755,0.75,80
INDUSINDBK.NS,15.94,0.645,23,20.28,0.806,,31.409,1.195,80
INFY.NS,8.8,0.367,23,11.11,0.459,,16.942,0.683,80
IOC.NS,11.54,0.476,23,14.61,0.595,,27.158,1.05,80
ITC.NS,10.98,0.454,23,13.9,0.567,,22.909,0.901,80
JSWSTEEL.NS,16.48,0.665,23,20.99,0.832,,33.797,1.274,80
KOTAKBANK.NS,11.59,0.478,23,14.68,0.597,,21.667,0.856,80
LT.NS,10.65,0.441,23,13.47,0.551,,24.033,0.941,80
M&M.NS,16.43,0.664,23,20.92,0.829,,35.179,1.319,80
MARUTI.NS,11.56,0.477,23,14.64,0.596,,25.26,0.984,80
NESTLEIND.NS,8.92,0.372,23,11.26,0.465,,25.155,0.98,80
NTPC.NS,12.11,0.498,23,15.35,0.623,,28.983,1.113,80
ONGC.NS,12.75,0.523,23,16.17,0.654,,27.83,1.073,80
POWERGRID.NS,13.03,0.534,23,16.53,0.668,,27.342,1.056,80
RELIANCE.NS,9.99,0.415,23,12.63,0.519,,18.909,0.756,80
SBILIFE.NS,14.91,0.606,23,18.95,0.757,,29.838,1.142,80
SBIN.NS,10.68,0.442,23,13.51,0.553,,19.925,0.793,80
SUNPHARMA.NS,13.73,0.561,23,17.43,0.701,,27.258,1.054,80
TATAMOTORS.NS,16.78,0.677,23,21.38,0.846,,40.049,1.475,80
TATASTEEL.NS,14.54,0.592,23,18.48,0.74,,28.293,1.089,80
TCS.NS,8.73,0.364,23,11.02,0.456,,19.656,0.783,80
TECHM.NS,14.77,0.601,23,18.77,0.751,,31.854,1.21,80
TITAN.NS,9.57,0.398,23,12.09,0.498,,23.249,0.913,80
ULTRACEMCO.NS,11.72,0.483,23,14.85,0.604,,24.67,0.963,80
UPL.NS,10.99,0.454,23,13.91,0.568,,22.377,0.882,80
WIPRO.NS,8.68,0.363,23,10.96,0.453,,18.431,0.738,80
