stock_name,total_percent_sf,daily_cgr_sf,number_of_days,total_percent_2nd_half,daily_cgr_2nd_half,file_date= 2023-07-03,total_percent_full_zone,daily_cgr_full_zone,sf_safety_factor
ADANIPORTS.NS,30.172,0.802,33,38.982,1.002,,66.648,1.56,80
APOLLOHOSP.NS,27.922,0.749,33,35.989,0.936,,62.481,1.482,80
ASIANPAINT.NS,16.804,0.472,33,21.414,0.59,,38.819,0.999,80
AXISBANK.NS,18.207,0.508,33,23.237,0.635,,39.795,1.02,80
BAJAJ-AUTO.NS,14.466,0.41,33,18.386,0.513,,35.454,0.924,80
BAJFINANCE.NS,16.686,0.469,33,21.26,0.586,,35.666,0.929,80
BAJAJFINSV.NS,19.449,0.54,33,24.856,0.675,,41.719,1.062,80
BHARTIARTL.NS,18.602,0.518,33,23.749,0.648,,40.431,1.034,80
BPCL.NS,20.2,0.559,33,25.832,0.699,,45.893,1.151,80
BRITANNIA.NS,18.17,0.507,33,23.187,0.634,,39.459,1.013,80
CIPLA.NS,19.572,0.543,33,25.014,0.679,,44.858,1.129,80
COALINDIA.NS,17.755,0.496,33,22.649,0.621,,38.881,1.0,80
DIVISLAB.NS,23.86,0.651,33,30.633,0.813,,54.882,1.335,80
DRREDDY.NS,14.703,0.417,33,18.692,0.521,,36.884,0.956,80
EICHERMOT.NS,20.011,0.554,33,25.589,0.693,,47.262,1.18,80
GAIL.NS,22.9,0.627,33,29.352,0.783,,46.663,1.167,80
GRASIM.NS,22.075,0.606,33,28.29,0.758,,50.695,1.25,80
HCLTECH.NS,19.058,0.53,33,24.345,0.662,,43.868,1.108,80
HDFC.NS,16.043,0.452,33,20.426,0.565,,28.433,0.761,80
HDFCBANK.NS,17.21,0.482,33,21.939,0.603,,31.474,0.833,80
HDFCLIFE.NS,29.329,0.782,33,37.863,0.978,,67.414,1.574,80
HEROMOTOCO.NS,25.56,0.692,33,32.874,0.865,,63.904,1.509,80
HINDALCO.NS,24.186,0.659,33,31.061,0.823,,51.808,1.273,80
HINDUNILVR.NS,18.255,0.509,33,23.299,0.637,,42.132,1.071,80
ICICIBANK.NS,17.469,0.489,33,22.277,0.611,,30.148,0.802,80
INDUSINDBK.NS,24.784,0.673,33,31.85,0.841,,50.172,1.24,80
INFY.NS,13.38,0.381,33,16.987,0.477,,26.542,0.716,80
IOC.NS,18.92,0.526,33,24.161,0.658,,46.447,1.163,80
ITC.NS,17.843,0.499,33,22.761,0.623,,39.271,1.009,80
JSWSTEEL.NS,25.69,0.695,33,33.048,0.869,,54.784,1.333,80
KOTAKBANK.NS,18.851,0.525,33,24.075,0.656,,37.569,0.971,80
LT.NS,17.679,0.495,33,22.549,0.618,,38.797,0.998,80
M&M.NS,23.539,0.643,33,30.211,0.803,,50.844,1.253,80
MARUTI.NS,15.723,0.443,33,20.01,0.554,,34.846,0.91,80
NESTLEIND.NS,14.212,0.403,33,18.058,0.504,,39.666,1.018,80
NTPC.NS,19.267,0.535,33,24.617,0.669,,43.822,1.107,80
ONGC.NS,17.455,0.489,33,22.256,0.611,,38.218,0.986,80
POWERGRID.NS,20.951,0.578,33,26.817,0.723,,45.351,1.14,80
RELIANCE.NS,15.215,0.43,33,19.355,0.538,,30.59,0.812,80
SBILIFE.NS,20.424,0.565,33,26.126,0.706,,43.356,1.097,80
SBIN.NS,20.251,0.56,33,25.894,0.7,,35.411,0.923,80
SUNPHARMA.NS,19.442,0.54,33,24.845,0.675,,42.057,1.069,80
TATAMOTORS.NS,25.042,0.68,33,32.191,0.849,,62.02,1.473,80
TATASTEEL.NS,19.544,0.542,33,24.977,0.678,,41.447,1.056,80
TCS.NS,13.642,0.388,33,17.323,0.485,,30.984,0.821,80
TECHM.NS,22.552,0.618,33,28.913,0.773,,50.475,1.246,80
TITAN.NS,14.68,0.416,33,18.663,0.52,,35.792,0.931,80
ULTRACEMCO.NS,17.713,0.495,33,22.594,0.619,,38.433,0.99,80
UPL.NS,17.041,0.478,33,21.719,0.597,,35.74,0.93,80
WIPRO.NS,14.047,0.399,33,17.845,0.499,,29.575,0.788,80
